#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=400 vbv_bufsize=800 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:125 out:125 type:B dur:2 cpbdur:2 q:30.89 aq:27.66 tex:1295 mv:966 misc:475 imb:1 pmb:112 smb:807 d:s ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:31.12 aq:31.06 tex:789 mv:716 misc:343 imb:0 pmb:65 smb:855 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:30.93 aq:23.80 tex:69 mv:87 misc:236 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:130 out:128 type:P dur:2 cpbdur:2 q:30.22 aq:23.33 tex:20211 mv:2644 misc:825 imb:13 pmb:415 smb:492 d:s ref:0 ;
in:128 out:129 type:B dur:2 cpbdur:2 q:30.58 aq:29.57 tex:1847 mv:1247 misc:570 imb:2 pmb:132 smb:786 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:30.72 aq:30.62 tex:313 mv:298 misc:245 imb:0 pmb:35 smb:885 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:29.14 aq:22.79 tex:19863 mv:2579 misc:910 imb:25 pmb:445 smb:450 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:30.31 aq:29.64 tex:1464 mv:883 misc:437 imb:1 pmb:81 smb:838 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:30.44 aq:25.69 tex:59 mv:131 misc:242 imb:0 pmb:33 smb:887 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:30.40 aq:30.12 tex:742 mv:634 misc:320 imb:0 pmb:51 smb:869 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:29.17 aq:23.43 tex:25525 mv:3110 misc:765 imb:47 pmb:398 smb:475 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:29.41 aq:25.60 tex:6380 mv:2407 misc:581 imb:8 pmb:189 smb:723 d:t ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:29.64 aq:23.77 tex:102 mv:268 misc:406 imb:0 pmb:76 smb:844 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:29.47 aq:27.02 tex:1856 mv:1038 misc:370 imb:2 pmb:93 smb:825 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:29.33 aq:23.56 tex:21543 mv:2807 misc:746 imb:46 pmb:348 smb:526 d:s ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:29.50 aq:26.93 tex:6130 mv:2209 misc:581 imb:6 pmb:187 smb:727 d:s ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:29.82 aq:26.35 tex:1740 mv:1085 misc:367 imb:0 pmb:88 smb:832 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:29.58 aq:26.85 tex:88 mv:260 misc:404 imb:0 pmb:80 smb:840 d:- ref:0 ;
in:145 out:143 type:P dur:2 cpbdur:2 q:30.10 aq:24.32 tex:25204 mv:3312 misc:564 imb:38 pmb:321 smb:561 d:s ref:0 ;
in:143 out:144 type:B dur:2 cpbdur:2 q:30.10 aq:28.22 tex:3751 mv:2081 misc:464 imb:2 pmb:154 smb:764 d:t ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:30.11 aq:30.12 tex:1619 mv:1206 misc:439 imb:1 pmb:125 smb:794 d:- ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:29.63 aq:23.99 tex:27657 mv:3270 misc:665 imb:38 pmb:325 smb:557 d:s ref:0 ;
